Service,Service Name,Job Title,Company,City,State,Full Location,Posted Date/Time,Scraped At
amazon_flex,Amazon Flex,Amazon Delivery Driver,Amazon Flex,Royston,GA,"Royston, GA     •  via Appjobs",2025-08-08 01:35 PM,2025-08-08T23:35:50.759Z
amazon_flex,Amazon Flex,Amazon Delivery Driver,Amazon Flex,Oxford,AL,"Oxford, AL     •  via Appjobs",2025-08-08 01:35 PM,2025-08-08T23:35:50.762Z
amazon_flex,Amazon Flex,Amazon Delivery Driver,Amazon Flex,Winterville,GA,"Winterville, GA     •  via Appjobs",2025-08-08 01:35 PM,2025-08-08T23:35:50.764Z
amazon_flex,Amazon Flex,Amazon Delivery Driver,Amazon Flex,Ashland,OH,"Ashland, OH     •  via Appjobs",2025-08-08 01:35 PM,2025-08-08T23:35:50.768Z
amazon_flex,Amazon Flex,Amazon Delivery Driver,Amazon Flex,Whitakers,NC,"Whitakers, NC     •  via Appjobs",2025-08-08 01:35 PM,2025-08-08T23:35:50.771Z
amazon_flex,Amazon Flex,Amazon Delivery Driver,Amazon Flex,Ontario,OH,"Ontario, OH     •  via Appjobs",2025-08-08 01:35 PM,2025-08-08T23:35:50.772Z
