Service,Service Name,Job Title,Company,City,State,Full Location,Posted Date/Time,Scraped At
roadie,Roadie,Delivery Driver (avg. $13 per local trip + Cash-out Instantly),Roadie,Seymour,IN,"Seymour, IN     •  via Recruit.net",2025-08-08 01:36 PM,2025-08-08T23:36:12.806Z
roadie,Roadie,Delivery Driver (avg. $13 per local trip + Cash-out Instantly),Roadie,Rio Grande City,TX,"Rio Grande City, TX     •  via Recruit.net",2025-08-08 01:36 PM,2025-08-08T23:36:12.827Z
roadie,Roadie,Delivery Driver (avg. $13 per local trip + Cash-out Instantly),Roadie,Lebanon,OR,"Lebanon, OR     •  via Recruit.net",2025-08-08 01:36 PM,2025-08-08T23:36:12.834Z
roadie,Roadie,Delivery Driver (avg. $13 per local trip + Cash-out Instantly),Roadie,Copperas Cove,TX,"Copperas Cove, TX     •  via Recruit.net",2025-08-08 01:36 PM,2025-08-08T23:36:12.837Z
roadie,Roadie,Delivery Driver (avg. $13 per local trip + Cash-out Instantly),Roadie,Fenton,MO,"Fenton, MO     •  via Recruit.net",2025-08-08 01:36 PM,2025-08-08T23:36:12.839Z
roadie,Roadie,Delivery Driver (avg. $13 per local trip + Cash-out Instantly),Roadie,Norwich,CT,"Norwich, CT     •  via Recruit.net",2025-08-08 01:36 PM,2025-08-08T23:36:12.844Z
