Service,Service Name,Job Title,Company,City,State,Full Location,Posted Date/Time,Scraped At
doordash,DoorDash,Drive with Doordash - No CDL license needed,DoorDash,Gans,PA,"Gans, PA     •  via Indeed",2025-08-08 01:35 PM,2025-08-08T23:35:15.010Z
doordash,DoorDash,Junior Account Manager - Mid-Market RX,DoorDash,New York,NY,"New York, NY     •  via LinkedIn",2025-08-08 01:35 PM,2025-08-08T23:35:15.013Z
doordash,DoorDash,Strategic Sales Development Representative,DoorDash,Dallas,TX,"Dallas, TX     •  via LinkedIn",2025-08-08 01:35 PM,2025-08-08T23:35:15.016Z
doordash,DoorDash,"Associate, New Verticals - Catalog Strategy & Operations",DoorDash,Seattle,WA,"Seattle, WA     •  via LinkedIn",2025-08-08 01:35 PM,2025-08-08T23:35:15.020Z
doordash,DoorDash,"Marketing Manager - Rewards, Ratings, & Sentiment",DoorDash,Los Angeles,CA,"Los Angeles, CA     •  via LinkedIn",2025-08-08 01:35 PM,2025-08-08T23:35:15.022Z
doordash,DoorDash,"Senior Product Designer, New Verticals Shopper ExperienceNewSan Francisco, CA; N",DoorDash,San Francisco,CA,"San Francisco, CA     •  via Media Bistro",2025-08-08 01:35 PM,2025-08-08T23:35:15.026Z
